( 2023/02/09 17:11:46.344) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:12:34.628) #left_data: ,0.12,0,0,0.03,0,0,0,0
( 2023/02/09 17:12:34.696) #left_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.767) #left_data: ,0.05,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.835) #left_data: ,0.04,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.895) #left_data: ,0,0,0.02,0,0,0,0,0
( 2023/02/09 17:12:34.963) #left_data: ,0,0,0.02,0,0,0,0,0
( 2023/02/09 17:12:35.032) #left_data: ,0,0,0.06,0.05,0,0,0,0
( 2023/02/09 17:12:35.101) #left_data: ,0.06,0,0,0.37,0,0.28,4.54,3.05
( 2023/02/09 17:12:35.168) #left_data: ,0.06,0,0,0.37,0,0.28,4.54,3.05
( 2023/02/09 17:12:35.227) #left_data: ,0.78,0.93,0.46,1.49,0,0.9,4.85,3.25
( 2023/02/09 17:12:35.287) #left_data: ,1.76,0.54,1.32,1.67,0,0.44,3.18,0.94
( 2023/02/09 17:12:35.353) #left_data: ,1.76,0.54,1.32,1.67,0,0.44,3.18,0.94
( 2023/02/09 17:12:35.422) #left_data: ,2.34,1.43,1.76,1.63,0,1.23,0.21,0.76
( 2023/02/09 17:12:35.488) #left_data: ,3.15,2.47,2.47,1.72,0,1.06,0.68,0.19
( 2023/02/09 17:12:35.547) #left_data: ,3.15,2.47,2.47,1.72,0,1.06,0.68,0.19
( 2023/02/09 17:12:35.607) #left_data: ,3.29,2.85,2.7,1.94,0,0.01,1.09,0.49
( 2023/02/09 17:12:35.676) #left_data: ,3.95,4.21,3.55,2.16,0,1.01,0.17,0
( 2023/02/09 17:12:35.743) #left_data: ,4.85,4.64,3.91,1.83,0,0.32,0,0
( 2023/02/09 17:12:35.806) #left_data: ,4.8,1.85,1.49,0.17,0,0,0,0
( 2023/02/09 17:12:35.866) #left_data: ,0.63,0.27,0.41,0.25,0,0,0,0
( 2023/02/09 17:12:35.928) #left_data: ,0.02,0,0,0.04,0,0,0,0
( 2023/02/09 17:12:35.993) #left_data: ,0.04,0,0,0,0,0,0,0
( 2023/02/09 17:12:36.060) #left_data: ,0.04,0,0.01,0,0,0,0,0
( 2023/02/09 17:12:36.126) #left_data: ,0.02,0,0.01,0,0,0,0,0
( 2023/02/09 17:12:36.190) #left_data: ,0.02,0,0.01,0,0,0,0,0
( 2023/02/09 17:12:36.253) #left_data: ,0.01,0,0.03,0,0,0,0,0
( 2023/02/09 17:12:36.320) #left_data: ,0,0,0,0.01,0,0,0.1,0.16
( 2023/02/09 17:12:36.389) #left_data: ,0.06,0,0,0.32,0,0.34,4.21,3.29
( 2023/02/09 17:12:36.457) #left_data: ,0.79,0.13,0.78,0.99,0,0.42,5.24,3.91
( 2023/02/09 17:12:36.521) #left_data: ,0.79,0.13,0.78,0.99,0,0.42,5.24,3.91
( 2023/02/09 17:12:36.581) #left_data: ,0.79,0.13,0.78,0.99,0,0.42,5.24,3.91
( 2023/02/09 17:12:36.641) #left_data: ,0.79,0.13,0.78,0.99,0,0.42,5.24,3.91
( 2023/02/09 17:12:36.708) #left_data: ,3.08,1.21,1.76,2.39,0,0.53,1.1,0.51
( 2023/02/09 17:12:36.775) #left_data: ,3.11,1.25,1.96,2.47,0,0.5,0.73,0.34
( 2023/02/09 17:12:36.842) #left_data: ,3.11,1.25,1.96,2.47,0,0.5,0.73,0.34
( 2023/02/09 17:12:36.917) #left_data: ,4.64,2.5,3.29,3.01,0,1.18,0,0
( 2023/02/09 17:12:36.976) #left_data: ,4.64,2.5,3.29,3.01,0,1.18,0,0
( 2023/02/09 17:12:37.041) #left_data: ,3.43,0.97,0.75,0.08,0,0,0,0
( 2023/02/09 17:12:37.109) #left_data: ,0.44,0,0.03,0.18,0,0,0,0
( 2023/02/09 17:12:37.177) #left_data: ,0.04,0,0,0.04,0,0,0,0
( 2023/02/09 17:12:37.237) #left_data: ,0.03,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:37.298) #left_data: ,0.01,0,0,0,0,0,0,0
( 2023/02/09 17:12:37.365) #left_data: ,0.01,0,0,0,0,0,0,0
( 2023/02/09 17:12:37.434) #left_data: ,0.04,0,0.01,0.01,0,0,0,0
( 2023/02/09 17:12:37.498) #left_data: ,0.04,0,0.01,0.01,0,0,0,0
( 2023/02/09 17:12:37.559) #left_data: ,0,0,0,0.01,0,0,0.39,0.25
( 2023/02/09 17:12:37.619) #left_data: ,1.94,0.03,0.5,0.66,0,0.66,5.54,4.3
( 2023/02/09 17:12:37.685) #left_data: ,1.94,0.03,0.5,0.66,0,0.66,5.54,4.3
( 2023/02/09 17:12:37.754) #left_data: ,4.08,1.04,0.55,1.87,0.01,1.16,4.17,1.83
( 2023/02/09 17:12:37.818) #left_data: ,4.69,0.73,1.28,1.89,0,0.7,1.34,0.96
( 2023/02/09 17:12:37.877) #left_data: ,4.59,0.63,1.41,1.94,0,0.44,0.92,0.43
( 2023/02/09 17:12:37.940) #left_data: ,4.26,0.53,1.53,1.96,0,0.49,0.73,0.35
( 2023/02/09 17:12:38.005) #left_data: ,4.45,0.91,1.78,2.13,0,0.51,0.53,0.22
( 2023/02/09 17:12:38.067) #left_data: ,4.96,1.53,2.23,2.53,0,0.84,0.71,0.31
( 2023/02/09 17:12:38.134) #left_data: ,5.66,2.89,3.11,2.82,0,1.12,0,0
( 2023/02/09 17:12:38.199) #left_data: ,5.42,2.21,3.01,2.34,0,0.25,0,0
( 2023/02/09 17:12:38.260) #left_data: ,4.26,1.15,1.23,0.95,0,0,0,0
( 2023/02/09 17:12:38.321) #left_data: ,0.33,0,0,0.05,0,0,0,0
( 2023/02/09 17:12:38.389) #left_data: ,0.03,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.457) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.523) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.582) #left_data: ,0.02,0,0,0,0,0,0,0
( 2023/02/09 17:12:38.643) #left_data: ,0.01,0,0.06,0.04,0,0,0,0
( 2023/02/09 17:12:38.710) #left_data: ,0,0,0.02,0.03,0,0,0,0
( 2023/02/09 17:12:38.778) #left_data: ,0,0,0.02,0.03,0,0,0,0
( 2023/02/09 17:12:38.841) #left_data: ,1.11,0,0.15,1.19,0,0.18,5.86,4.96
( 2023/02/09 17:12:38.901) #left_data: ,2.31,0.3,1.2,1.47,0,1.74,5.07,3.74
( 2023/02/09 17:12:38.965) #left_data: ,2.31,0.3,1.2,1.47,0,1.74,5.07,3.74
( 2023/02/09 17:12:39.032) #left_data: ,3.11,0.8,1.16,2.03,0,1.87,1.28,0.29
( 2023/02/09 17:12:39.101) #left_data: ,3.29,1.03,1.61,2.13,0,1.39,0.49,0.43
( 2023/02/09 17:12:39.165) #left_data: ,3.36,1.05,1.85,2.23,0,1.11,0.13,0.1
( 2023/02/09 17:12:39.225) #left_data: ,3.43,1.12,1.96,2.34,0,0.84,0.06,0.05
( 2023/02/09 17:12:39.286) #left_data: ,3.91,0.41,2.53,2.79,0,1.21,0.08,0.06
( 2023/02/09 17:12:39.351) #left_data: ,4.8,1.94,3.36,3.29,0,0.35,0,0
( 2023/02/09 17:12:39.421) #left_data: ,4.54,1.74,3.4,2.73,0,0.45,0,0
( 2023/02/09 17:12:39.488) #left_data: ,3.91,1.07,1.45,1.21,0,0,0,0
( 2023/02/09 17:12:39.551) #left_data: ,0.51,0,0.05,0.28,0,0,0,0
( 2023/02/09 17:12:39.611) #left_data: ,0,0,0,0.04,0,0,0,0
( 2023/02/09 17:12:39.673) #left_data: ,0.13,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.742) #left_data: ,0.14,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.813) #left_data: ,0.14,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.877) #left_data: ,0.17,0,0,0,0,0,0,0
( 2023/02/09 17:12:39.938) #left_data: ,0.06,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:40.005) #left_data: ,0,0,0,0.04,0,0.13,3.7,3.4
( 2023/02/09 17:12:40.071) #left_data: ,0.46,0,0.17,0.35,0,0.5,6.06,5.36
( 2023/02/09 17:12:40.139) #left_data: ,0.46,0,0.17,0.35,0,0.5,6.06,5.36
( 2023/02/09 17:12:40.212) #left_data: ,4.96,0.46,1.21,1.96,0,0.61,2.26,1.11
( 2023/02/09 17:12:40.272) #left_data: ,5.12,1.18,1.37,1.47,0,0.94,0.95,0.27
( 2023/02/09 17:12:40.332) #left_data: ,5.24,1.65,1.34,1.04,0,0.73,0.48,0.07
( 2023/02/09 17:12:40.399) #left_data: ,5.24,1.65,1.34,1.04,0,0.73,0.48,0.07
( 2023/02/09 17:12:40.468) #left_data: ,6.2,3.01,1.92,1.21,0,0.82,0.52,0.1
( 2023/02/09 17:12:40.537) #left_data: ,6.49,4.12,2.79,1.59,0,0.7,0,0
( 2023/02/09 17:12:40.599) #left_data: ,6.2,3.29,2.39,0.9,0,0.15,0,0
( 2023/02/09 17:12:40.665) #left_data: ,3.95,0.86,0.72,0.49,0,0,0,0
( 2023/02/09 17:12:40.728) #left_data: ,0.14,0,0,0.05,0,0,0,0
( 2023/02/09 17:12:40.792) #left_data: ,0.07,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.859) #left_data: ,0.07,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.918) #left_data: ,0.08,0,0,0,0,0,0,0
( 2023/02/09 17:12:40.979) #left_data: ,0.07,0,0,0.01,0,0,0,0
( 2023/02/09 17:12:41.047) #left_data: ,0.03,0,0.02,0.01,0,0,0,0
( 2023/02/09 17:12:41.114) #left_data: ,0.03,0,0.02,0.01,0,0,0,0
( 2023/02/09 17:12:41.184) #left_data: ,0.01,0,0,0.01,0,0.14,1.74,1.34
( 2023/02/09 17:12:41.244) #left_data: ,0.77,0,0,0.68,0,0.4,6.13,5.66
( 2023/02/09 17:12:41.305) #left_data: ,0.77,0,0,0.68,0,0.4,6.13,5.66
( 2023/02/09 17:12:41.372) #left_data: ,3.15,0.23,0.94,0.88,0.01,1.74,5.24,3.99
( 2023/02/09 17:12:41.442) #left_data: ,5.79,1.25,1.04,1.21,0,1.22,0.31,0.09
( 2023/02/09 17:12:41.507) #left_data: ,5.79,1.25,1.04,1.21,0,1.22,0.31,0.09
( 2023/02/09 17:12:41.566) #left_data: ,6.2,1.26,0.82,0.32,0,0.67,0.06,0
( 2023/02/09 17:12:41.628) #left_data: ,6.2,1.26,0.82,0.32,0,0.67,0.06,0
( 2023/02/09 17:12:41.694) #left_data: ,6.72,1.01,1.45,0.72,0,0.69,0.01,0
