( 2023/02/09 14:30:00.432) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 14:30:46.208) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.276) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.343) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.408) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.468) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.531) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.597) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.666) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.730) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.789) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.851) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.920) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:46.989) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.057) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.116) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.176) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.242) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.312) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.373) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
( 2023/02/09 14:30:47.436) #left_data: ,0,0,0.1,0.09,0,0.07,0.31,0.15
