( 2023/02/09 15:59:18.379) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 16:00:14.537) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:14.598) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.94,1.25
( 2023/02/09 16:00:14.663) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.93,1.25
( 2023/02/09 16:00:14.727) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.93,1.26
( 2023/02/09 16:00:14.795) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:14.857) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.26
( 2023/02/09 16:00:14.917) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.26
( 2023/02/09 16:00:14.976) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.93,1.26
( 2023/02/09 16:00:15.034) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.26
( 2023/02/09 16:00:15.099) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.26
( 2023/02/09 16:00:15.159) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.93,1.26
( 2023/02/09 16:00:15.218) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:15.287) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.94,1.25
( 2023/02/09 16:00:15.355) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:15.423) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.91,1.25
( 2023/02/09 16:00:15.484) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.91,1.24
( 2023/02/09 16:00:15.544) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.91,1.24
( 2023/02/09 16:00:15.605) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.94,1.25
( 2023/02/09 16:00:15.672) #right_data: ,0.05,0.07,0.13,0.21,0,0.27,0.93,1.25
( 2023/02/09 16:00:15.734) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.93,1.25
( 2023/02/09 16:00:15.799) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:15.870) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.91,1.25
( 2023/02/09 16:00:15.935) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.94,1.25
( 2023/02/09 16:00:15.994) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.94,1.26
( 2023/02/09 16:00:16.051) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.96,1.26
( 2023/02/09 16:00:16.109) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.94,1.26
( 2023/02/09 16:00:16.170) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.98,1.26
( 2023/02/09 16:00:16.229) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.99,1.27
( 2023/02/09 16:00:16.293) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.99,1.27
( 2023/02/09 16:00:16.360) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.96,1.26
( 2023/02/09 16:00:16.427) #right_data: ,0.05,0.07,0.13,0.22,0,0.28,0.99,1.26
( 2023/02/09 16:00:16.488) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.99,1.27
( 2023/02/09 16:00:16.549) #right_data: ,0.05,0.06,0.13,0.22,0,0.28,0.99,0
( 2023/02/09 16:00:16.615) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.96,0
( 2023/02/09 16:00:16.682) #right_data: ,0.05,0.07,0.14,0.22,0,0.28,0.96,0
( 2023/02/09 16:00:16.758) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.98,1.27
( 2023/02/09 16:00:16.820) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.98,0.03
( 2023/02/09 16:00:16.880) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,0.98,0.02
( 2023/02/09 16:00:16.946) #right_data: ,0.05,0.07,0.13,0.21,0,0.28,1.01,0.01
( 2023/02/09 16:00:17.014) #right_data: ,0.05,0.07,0.13,0.2,0,0.27,0.99,0.01
( 2023/02/09 16:00:17.082) #right_data: ,0.05,0.07,0.13,0.2,0,0.28,1.01,0.01
( 2023/02/09 16:00:17.146) #right_data: ,0.05,0.06,0.13,0.21,0,0.28,0.99,0.01
( 2023/02/09 16:00:17.207) #right_data: ,0.05,0.06,0.14,0.21,0,0.28,0.99,0.02
( 2023/02/09 16:00:17.273) #right_data: ,0.05,0.07,0.14,0.2,0,0.28,0.99,0.01
( 2023/02/09 16:00:17.336) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.98,0.01
( 2023/02/09 16:00:17.401) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.03
( 2023/02/09 16:00:17.469) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.06
( 2023/02/09 16:00:17.535) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,0.98,0.07
( 2023/02/09 16:00:17.595) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.04,0.06
( 2023/02/09 16:00:17.659) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.06
( 2023/02/09 16:00:17.728) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.01,0.06
( 2023/02/09 16:00:17.796) #right_data: ,0.05,0.06,0.14,0.21,0,0.28,1.01,0.07
( 2023/02/09 16:00:17.862) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.06
( 2023/02/09 16:00:17.921) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.07
( 2023/02/09 16:00:17.986) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.04
( 2023/02/09 16:00:18.053) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.04
( 2023/02/09 16:00:18.127) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.04,0.04
( 2023/02/09 16:00:18.190) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.04,0.04
( 2023/02/09 16:00:18.250) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.01,0.04
( 2023/02/09 16:00:18.314) #right_data: ,0.05,0.07,0.15,0.22,0,0.28,0.99,0.02
( 2023/02/09 16:00:18.384) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.98,0
( 2023/02/09 16:00:18.452) #right_data: ,0.05,0.07,0.15,0.21,0,0.27,1.01,0.02
( 2023/02/09 16:00:18.513) #right_data: ,0.05,0.07,0.15,0.22,0,0.27,0.99,0.02
( 2023/02/09 16:00:18.574) #right_data: ,0.05,0.07,0.15,0.22,0,0.27,0.99,0.01
( 2023/02/09 16:00:18.633) #right_data: ,0.05,0.07,0.15,0.21,0,0.27,0.99,0
( 2023/02/09 16:00:18.702) #right_data: ,0.05,0.07,0.15,0.22,0,0.27,1.01,0.01
( 2023/02/09 16:00:18.772) #right_data: ,0.05,0.07,0.15,0.22,0,0.28,0.98,0.03
( 2023/02/09 16:00:18.832) #right_data: ,0.05,0.07,0.15,0.21,0,0.28,1.02,0.02
( 2023/02/09 16:00:18.890) #right_data: ,0.05,0.07,0.15,0.22,0,0.28,1.01,0.04
( 2023/02/09 16:00:18.954) #right_data: ,0.05,0.07,0.15,0.22,0,0.28,0.99,0.03
( 2023/02/09 16:00:19.022) #right_data: ,0.05,0.07,0.15,0.22,0,0.28,0.99,0.03
( 2023/02/09 16:00:19.090) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.02,0.05
( 2023/02/09 16:00:19.152) #right_data: ,0.05,0.07,0.14,0.21,0,0.28,1.01,0.03
( 2023/02/09 16:00:19.212) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,1.02,0.03
( 2023/02/09 16:00:19.269) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,1.02,0.03
( 2023/02/09 16:00:19.338) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,1.02,0.03
( 2023/02/09 16:00:19.407) #right_data: ,0.05,0.07,0.13,0.2,0,0.27,1.01,0.03
( 2023/02/09 16:00:19.477) #right_data: ,0.05,0.07,0.13,0.2,0,0.27,1.01,0.02
( 2023/02/09 16:00:19.538) #right_data: ,0.05,0.07,0.13,0.19,0,0.27,1.02,0.02
( 2023/02/09 16:00:19.596) #right_data: ,0.05,0.07,0.13,0.19,0,0.27,0.99,0.02
( 2023/02/09 16:00:19.660) #right_data: ,0.05,0.07,0.13,0.19,0,0.27,1.01,0.01
( 2023/02/09 16:00:19.729) #right_data: ,0.05,0.07,0.13,0.19,0,0.27,1.02,0.02
( 2023/02/09 16:00:19.798) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,1.01,0.03
( 2023/02/09 16:00:19.859) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,1.02,0
( 2023/02/09 16:00:19.917) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,0.99,0
( 2023/02/09 16:00:19.981) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,1.01,0
( 2023/02/09 16:00:20.048) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,1.01,0
( 2023/02/09 16:00:20.116) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,0.99,0.01
( 2023/02/09 16:00:20.176) #right_data: ,0.05,0.07,0.14,0.19,0,0.27,1.01,0.01
( 2023/02/09 16:00:20.236) #right_data: ,0.05,0.07,0.14,0.2,0,0.27,0.99,0.01
( 2023/02/09 16:00:20.299) #right_data: ,0.05,0.07,0.14,0.2,0,0.27,0.98,0
( 2023/02/09 16:00:20.372) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.98,1.27
( 2023/02/09 16:00:20.441) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.98,1.26
( 2023/02/09 16:00:20.504) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.99,1.26
( 2023/02/09 16:00:20.564) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.98,0
( 2023/02/09 16:00:20.628) #right_data: ,0.05,0.07,0.14,0.21,0,0.27,0.98,1.26
