( 2023/02/09 17:05:27.977) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:05:54.927) #right_data: ,4.45,2.36,0.44,1.23,0.0,0.76,0.04,0.03
( 2023/02/09 17:05:55.003) #right_data: ,4.45,2.36,0.44,1.23,0.0,0.76,0.04,0.03
( 2023/02/09 17:05:55.064) #right_data: ,5.48,2.03,0.68,0.25,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.124) #right_data: ,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.189) #right_data: ,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.258) #right_data: ,0.39,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 17:05:55.327) #right_data: ,0.56,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 17:05:55.390) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.452) #right_data: ,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.510) #right_data: ,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.575) #right_data: ,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:55.647) #right_data: ,0.16,0.0,0.0,0.0,0.0,0.0,0.42,0.44
( 2023/02/09 17:05:55.709) #right_data: ,0.25,0.0,0.0,0.02,0.0,0.19,5.54,4.85
( 2023/02/09 17:05:55.768) #right_data: ,0.45,0.0,0.0,0.09,0.0,0.61,6.2,5.24
( 2023/02/09 17:05:55.832) #right_data: ,0.6,0.0,0.0,0.25,0.0,0.98,6.34,5.42
