( 2023/02/09 17:05:27.969) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 17:05:53.599) #left_data: ,0.0,0.0,0.0,0.09,0.0,0.05,3.4,2.36
( 2023/02/09 17:05:53.669) #left_data: ,0.08,0.0,0.06,0.4,0.0,0.42,5.01,3.99
( 2023/02/09 17:05:53.739) #left_data: ,0.16,0.18,0.42,0.71,0.0,0.85,5.01,4.26
( 2023/02/09 17:05:53.800) #left_data: ,0.16,0.18,0.42,0.71,0.0,0.85,5.01,4.26
( 2023/02/09 17:05:53.860) #left_data: ,0.21,0.32,0.54,0.82,0.0,0.98,4.54,3.74
( 2023/02/09 17:05:53.929) #left_data: ,0.28,0.41,0.66,1.03,0.0,1.1,4.12,3.36
( 2023/02/09 17:05:53.998) #left_data: ,0.38,0.44,0.71,1.19,0.0,1.18,3.86,2.85
( 2023/02/09 17:05:54.065) #left_data: ,0.11,0.89,0.99,0.35,0.0,1.27,2.18,0.88
( 2023/02/09 17:05:54.125) #left_data: ,0.11,0.89,0.99,0.35,0.0,1.27,2.18,0.88
( 2023/02/09 17:05:54.187) #left_data: ,2.76,0.49,0.65,0.82,0.0,1.17,0.75,0.42
( 2023/02/09 17:05:54.255) #left_data: ,4.45,1.34,1.57,0.54,0.0,0.32,0.0,0.0
( 2023/02/09 17:05:54.325) #left_data: ,4.49,1.02,0.69,0.32,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.390) #left_data: ,0.74,0.0,0.09,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.450) #left_data: ,0.74,0.0,0.09,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.513) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.583) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.654) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.725) #left_data: ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.786) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.848) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.917) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 17:05:54.994) #left_data: ,0.02,0.0,0.0,0.33,0.0,0.47,5.3,4.4
( 2023/02/09 17:05:55.060) #left_data: ,0.02,0.0,0.0,0.33,0.0,0.47,5.3,4.4
( 2023/02/09 17:05:55.119) #left_data: ,0.05,0.0,0.04,0.46,0.0,0.63,5.6,4.75
( 2023/02/09 17:05:55.181) #left_data: ,0.03,0.0,0.1,0.63,0.0,0.8,5.6,4.85
( 2023/02/09 17:05:55.249) #left_data: ,0.04,0.0,0.24,0.75,0.0,0.99,5.3,4.49
( 2023/02/09 17:05:55.318) #left_data: ,0.04,0.0,0.23,0.88,0.0,1.1,5.07,4.3
