( 2023/02/09 19:19:36.468) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:19:58.115) #left_data: ,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:58.177) #left_data: ,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:58.246) #left_data: ,0.12,0.0,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:58.316) #left_data: ,0.45,0.68,0.9,0.65,0.0,0.7,1.3,1.21
( 2023/02/09 19:19:58.381) #left_data: ,0.45,0.68,0.9,0.65,0.0,0.7,1.3,1.21
( 2023/02/09 19:19:58.441) #left_data: ,1.23,2.34,1.01,1.05,0.0,1.04,3.74,1.99
( 2023/02/09 19:19:58.502) #left_data: ,0.94,3.55,1.67,1.13,0.0,1.1,4.12,2.5
( 2023/02/09 19:19:58.568) #left_data: ,1.14,3.74,1.94,1.27,0.0,1.15,4.21,2.61
( 2023/02/09 19:19:58.637) #left_data: ,0.94,3.62,1.8,1.25,0.0,1.03,4.12,2.64
( 2023/02/09 19:19:58.702) #left_data: ,0.94,3.66,1.55,1.12,0.0,0.89,3.82,2.16
( 2023/02/09 19:19:58.764) #left_data: ,0.88,3.43,1.45,1.12,0.0,0.88,3.62,2.01
( 2023/02/09 19:19:58.823) #left_data: ,0.55,3.08,1.32,1.14,0.0,0.89,3.91,2.36
( 2023/02/09 19:19:58.885) #left_data: ,1.18,2.36,0.87,1.1,0.0,0.89,4.45,3.05
( 2023/02/09 19:19:58.955) #left_data: ,1.1,1.59,0.35,1.07,0.0,0.97,4.96,3.62
( 2023/02/09 19:19:59.024) #left_data: ,1.55,3.18,1.83,0.35,0.0,0.03,3.78,1.99
( 2023/02/09 19:19:59.089) #left_data: ,4.12,5.36,4.21,1.76,0.0,1.2,0.31,0.07
( 2023/02/09 19:19:59.150) #left_data: ,4.3,2.98,2.39,1.06,0.0,0.0,0.0,0.0
