( 2023/02/10 14:11:38.096) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 14:12:12.151) #left_data: ,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.220) #left_data: ,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.290) #left_data: ,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.356) #left_data: ,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.414) #left_data: ,0.07,0.0,0.01,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:12.477) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.05,2.31,2.03
( 2023/02/10 14:12:12.548) #left_data: ,0.0,0.0,0.0,0.42,0.0,0.62,6.72,6.97
( 2023/02/10 14:12:12.617) #left_data: ,0.39,0.0,0.08,0.99,0.0,0.53,7.05,6.88
( 2023/02/10 14:12:12.685) #left_data: ,0.11,0.27,0.73,1.08,0.0,0.21,7.05,6.65
( 2023/02/10 14:12:12.745) #left_data: ,1.02,1.02,0.92,1.03,0.0,1.14,6.97,6.27
( 2023/02/10 14:12:12.807) #left_data: ,1.02,1.02,0.92,1.03,0.0,1.14,6.97,6.27
( 2023/02/10 14:12:12.877) #left_data: ,3.25,2.92,2.01,0.76,0.01,0.49,3.95,2.18
( 2023/02/10 14:12:12.949) #left_data: ,3.25,2.92,2.01,0.76,0.01,0.49,3.95,2.18
( 2023/02/10 14:12:13.017) #left_data: ,7.22,6.42,5.6,1.94,0.0,0.65,0.0,0.0
( 2023/02/10 14:12:13.077) #left_data: ,8.16,5.92,5.12,1.45,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.139) #left_data: ,8.16,3.43,2.34,1.21,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.208) #left_data: ,1.65,0.02,0.16,0.02,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.281) #left_data: ,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.348) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.407) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.468) #left_data: ,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.535) #left_data: ,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.605) #left_data: ,0.04,0.0,0.01,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.671) #left_data: ,0.04,0.0,0.01,0.01,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:13.729) #left_data: ,0.0,0.0,0.0,0.02,0.0,0.08,4.26,3.78
( 2023/02/10 14:12:13.792) #left_data: ,0.77,0.12,0.75,1.23,0.0,0.54,6.88,6.13
