( 2023/02/10 13:30:53.246) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/10 13:31:30.395) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.07,0.79
( 2023/02/10 13:31:30.468) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.09,0.8
( 2023/02/10 13:31:30.537) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.09,0.8
( 2023/02/10 13:31:30.600) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.1,0.81
( 2023/02/10 13:31:30.662) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.1,0.82
( 2023/02/10 13:31:30.732) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.1,0.82
( 2023/02/10 13:31:30.806) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.11,0.82
( 2023/02/10 13:31:30.882) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.11,0.81
( 2023/02/10 13:31:30.942) #left_data: ,0.05,0.0,0.01,0.0,0.0,0.0,1.11,0.81
( 2023/02/10 13:31:31.000) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.11,0.81
( 2023/02/10 13:31:31.067) #left_data: ,0.06,0.0,0.02,0.0,0.0,0.0,1.13,0.85
( 2023/02/10 13:31:31.136) #left_data: ,0.06,0.0,0.02,0.0,0.0,0.0,1.13,0.84
( 2023/02/10 13:31:31.203) #left_data: ,0.06,0.0,0.02,0.0,0.0,0.0,1.14,0.85
( 2023/02/10 13:31:31.266) #left_data: ,0.06,0.0,0.03,0.0,0.0,0.0,1.14,0.86
( 2023/02/10 13:31:31.328) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.14,0.85
( 2023/02/10 13:31:31.397) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.14,0.85
( 2023/02/10 13:31:31.469) #left_data: ,0.08,0.0,0.02,0.0,0.0,0.0,1.14,0.86
( 2023/02/10 13:31:31.536) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.15,0.86
( 2023/02/10 13:31:31.597) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.15,0.86
( 2023/02/10 13:31:31.660) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.16,0.87
( 2023/02/10 13:31:31.731) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.16,0.89
( 2023/02/10 13:31:31.802) #left_data: ,0.08,0.0,0.02,0.0,0.0,0.0,1.16,0.89
( 2023/02/10 13:31:31.869) #left_data: ,0.08,0.0,0.02,0.0,0.0,0.0,1.16,0.88
( 2023/02/10 13:31:31.929) #left_data: ,0.08,0.0,0.02,0.0,0.0,0.0,1.16,0.87
( 2023/02/10 13:31:31.989) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.15,0.88
( 2023/02/10 13:31:32.061) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.16,0.89
( 2023/02/10 13:31:32.125) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.17,0.91
( 2023/02/10 13:31:32.189) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.17,0.91
( 2023/02/10 13:31:32.249) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.17,0.9
( 2023/02/10 13:31:32.310) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.16,0.88
( 2023/02/10 13:31:32.378) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.16,0.88
( 2023/02/10 13:31:32.449) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.17,0.87
( 2023/02/10 13:31:32.517) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.17,0.87
( 2023/02/10 13:31:32.577) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.16,0.87
( 2023/02/10 13:31:32.643) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.17,0.9
( 2023/02/10 13:31:32.711) #left_data: ,0.09,0.0,0.03,0.0,0.0,0.0,1.18,0.9
( 2023/02/10 13:31:32.787) #left_data: ,0.09,0.0,0.04,0.0,0.0,0.0,1.17,0.9
( 2023/02/10 13:31:32.857) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:32.917) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.17,0.88
( 2023/02/10 13:31:32.980) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.18,0.89
( 2023/02/10 13:31:33.047) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.18,0.88
( 2023/02/10 13:31:33.117) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.18,0.88
( 2023/02/10 13:31:33.189) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.19,0.9
( 2023/02/10 13:31:33.251) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.2,0.92
( 2023/02/10 13:31:33.310) #left_data: ,0.09,0.0,0.04,0.0,0.0,0.0,1.2,0.93
( 2023/02/10 13:31:33.375) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.2,0.93
( 2023/02/10 13:31:33.439) #left_data: ,0.07,0.0,0.03,0.0,0.0,0.0,1.2,0.93
( 2023/02/10 13:31:33.508) #left_data: ,0.05,0.0,0.02,0.0,0.0,0.0,1.19,0.93
( 2023/02/10 13:31:33.570) #left_data: ,0.07,0.0,0.03,0.0,0.0,0.0,1.21,0.92
( 2023/02/10 13:31:33.629) #left_data: ,0.07,0.0,0.04,0.0,0.0,0.0,1.21,0.95
( 2023/02/10 13:31:33.690) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.22,0.97
( 2023/02/10 13:31:33.763) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.21,0.94
( 2023/02/10 13:31:33.838) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.23,0.97
( 2023/02/10 13:31:33.907) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.14,0.86
( 2023/02/10 13:31:33.968) #left_data: ,0.08,0.0,0.03,0.0,0.0,0.0,1.14,0.86
( 2023/02/10 13:31:34.031) #left_data: ,0.1,0.0,0.04,0.0,0.0,0.0,1.18,0.92
( 2023/02/10 13:31:34.105) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,1.19,0.94
( 2023/02/10 13:31:34.177) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:34.305) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.25,1.03
( 2023/02/10 13:31:34.367) #left_data: ,0.1,0.0,0.07,0.0,0.0,0.0,0.07,1.07
( 2023/02/10 13:31:34.440) #left_data: ,0.1,0.0,0.07,0.0,0.0,0.0,0.07,1.07
( 2023/02/10 13:31:34.516) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:34.582) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:34.644) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,1.21,0.97
( 2023/02/10 13:31:34.705) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.21,0.98
( 2023/02/10 13:31:34.772) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.23,0.98
( 2023/02/10 13:31:34.846) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,1.0
( 2023/02/10 13:31:34.913) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:34.975) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.038) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.105) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.23,1.0
( 2023/02/10 13:31:35.171) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:35.231) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.292) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.355) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.428) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.23,1.0
( 2023/02/10 13:31:35.499) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.23,1.0
( 2023/02/10 13:31:35.567) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.24,0.99
( 2023/02/10 13:31:35.627) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.691) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.762) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.24,1.0
( 2023/02/10 13:31:35.841) #left_data: ,0.11,0.0,0.05,0.0,0.0,0.0,1.23,0.99
( 2023/02/10 13:31:35.911) #left_data: ,0.1,0.0,0.05,0.0,0.0,0.0,1.22,0.99
( 2023/02/10 13:31:35.973) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.99
( 2023/02/10 13:31:36.040) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:36.114) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:36.206) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.98
( 2023/02/10 13:31:36.267) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.22,0.97
( 2023/02/10 13:31:36.327) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.98
( 2023/02/10 13:31:36.391) #left_data: ,0.1,0.0,0.06,0.0,0.0,0.0,1.23,0.98
( 2023/02/10 13:31:36.464) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.96
( 2023/02/10 13:31:36.531) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.96
( 2023/02/10 13:31:36.595) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.96
( 2023/02/10 13:31:36.655) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.96
( 2023/02/10 13:31:36.717) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.97
( 2023/02/10 13:31:36.787) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.22,0.97
( 2023/02/10 13:31:36.856) #left_data: ,0.11,0.0,0.07,0.0,0.0,0.0,1.22,0.96
( 2023/02/10 13:31:36.923) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.21,0.93
( 2023/02/10 13:31:36.985) #left_data: ,0.11,0.0,0.06,0.0,0.0,0.0,1.21,0.93
( 2023/02/10 13:31:37.045) #left_data: ,0.09,0.0,0.05,0.0,0.0,0.0,1.19,0.86
( 2023/02/10 13:31:37.114) #left_data: ,0.08,0.0,0.05,0.0,0.0,0.0,1.18,0.85
( 2023/02/10 13:31:37.191) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.258) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.321) #left_data: ,0.07,0.0,0.04,0.0,0.0,0.0,1.15,0.82
( 2023/02/10 13:31:37.381) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.448) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.520) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.594) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.16,0.83
( 2023/02/10 13:31:37.655) #left_data: ,0.05,0.0,0.04,0.0,0.0,0.0,1.15,0.83
( 2023/02/10 13:31:37.721) #left_data: ,0.05,0.0,0.04,0.0,0.0,0.0,1.14,0.81
( 2023/02/10 13:31:37.792) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.11,0.79
( 2023/02/10 13:31:37.871) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.11,0.8
( 2023/02/10 13:31:37.937) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.11,0.8
( 2023/02/10 13:31:38.004) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.05,0.71
( 2023/02/10 13:31:38.068) #left_data: ,0.05,0.0,0.05,0.0,0.0,0.0,1.1,0.76
( 2023/02/10 13:31:38.138) #left_data: ,0.05,0.0,0.05,0.0,0.0,0.0,1.1,0.76
( 2023/02/10 13:31:38.210) #left_data: ,0.07,0.0,0.05,0.0,0.0,0.0,1.07,0.73
( 2023/02/10 13:31:38.274) #left_data: ,0.05,0.0,0.05,0.0,0.0,0.0,1.06,0.75
( 2023/02/10 13:31:38.333) #left_data: ,0.05,0.0,0.05,0.0,0.0,0.0,1.06,0.75
( 2023/02/10 13:31:38.394) #left_data: ,0.04,0.0,0.04,0.0,0.0,0.0,1.04,0.74
( 2023/02/10 13:31:38.464) #left_data: ,0.11,0.04,0.1,0.02,0.0,0.0,0.85,0.51
( 2023/02/10 13:31:38.533) #left_data: ,0.46,0.25,0.32,0.02,0.0,0.0,0.46,0.25
( 2023/02/10 13:31:38.601) #left_data: ,0.97,0.46,0.45,0.0,0.0,0.0,0.14,0.15
( 2023/02/10 13:31:38.661) #left_data: ,0.06,0.64,0.59,0.06,0.0,0.0,0.06,0.09
( 2023/02/10 13:31:38.724) #left_data: ,0.87,0.82,0.71,0.1,0.0,0.0,0.0,0.04
( 2023/02/10 13:31:38.794) #left_data: ,1.11,0.88,0.79,0.11,0.0,0.0,0.0,0.02
( 2023/02/10 13:31:38.865) #left_data: ,1.02,0.87,0.82,0.16,0.0,0.0,0.0,0.02
( 2023/02/10 13:31:38.932) #left_data: ,0.85,0.7,0.78,0.16,0.0,0.0,0.0,0.05
( 2023/02/10 13:31:38.993) #left_data: ,0.65,0.51,0.65,0.09,0.0,0.0,0.0,0.02
( 2023/02/10 13:31:39.055) #left_data: ,0.51,0.45,0.56,0.02,0.0,0.0,0.01,0.06
( 2023/02/10 13:31:39.126) #left_data: ,0.35,0.41,0.42,0.0,0.0,0.0,0.07,0.11
( 2023/02/10 13:31:39.197) #left_data: ,0.2,0.48,0.47,0.0,0.0,0.0,0.31,0.23
( 2023/02/10 13:31:39.320) #left_data: ,1.23,0.49,0.48,0.0,0.0,0.0,0.32,0.22
( 2023/02/10 13:31:39.380) #left_data: ,1.08,0.35,0.46,0.0,0.0,0.0,0.32,0.22
( 2023/02/10 13:31:39.448) #left_data: ,0.95,0.22,0.37,0.0,0.0,0.0,0.32,0.23
( 2023/02/10 13:31:39.517) #left_data: ,0.72,0.17,0.32,0.0,0.0,0.0,0.41,0.26
( 2023/02/10 13:31:39.584) #left_data: ,0.45,0.16,0.31,0.0,0.0,0.0,0.47,0.27
( 2023/02/10 13:31:39.642) #left_data: ,0.26,0.14,0.28,0.01,0.0,0.0,0.52,0.29
( 2023/02/10 13:31:39.703) #left_data: ,0.15,0.07,0.18,0.0,0.0,0.0,0.63,0.38
( 2023/02/10 13:31:39.773) #left_data: ,0.09,0.04,0.11,0.0,0.0,0.0,0.71,0.44
( 2023/02/10 13:31:39.843) #left_data: ,0.12,0.02,0.09,0.0,0.0,0.0,0.84,0.54
( 2023/02/10 13:31:39.912) #left_data: ,0.11,0.02,0.07,0.0,0.0,0.0,0.81,0.54
( 2023/02/10 13:31:39.972) #left_data: ,0.06,0.0,0.02,0.0,0.0,0.0,0.81,0.54
( 2023/02/10 13:31:40.033) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.62
( 2023/02/10 13:31:40.102) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.62
( 2023/02/10 13:31:40.174) #left_data: ,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.62
