( 2023/02/10 14:11:38.103) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/10 14:12:15.252) #right_data: ,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.326) #right_data: ,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.388) #right_data: ,0.1,0.0,0.02,0.03,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:15.447) #right_data: ,0.0,0.0,0.0,0.0,0.0,0.18,4.75,3.95
( 2023/02/10 14:12:15.511) #right_data: ,0.17,0.0,0.0,0.49,0.0,0.85,6.72,5.73
( 2023/02/10 14:12:15.581) #right_data: ,0.41,0.0,0.34,0.35,0.0,0.61,7.76,6.2
( 2023/02/10 14:12:15.650) #right_data: ,0.42,0.29,1.04,1.01,0.0,1.04,6.88,5.6
( 2023/02/10 14:12:15.719) #right_data: ,0.94,0.0,1.12,1.51,0.0,1.11,4.17,2.64
( 2023/02/10 14:12:15.781) #right_data: ,0.94,0.0,1.12,1.51,0.0,1.11,4.17,2.64
( 2023/02/10 14:12:15.848) #right_data: ,3.78,4.69,4.21,3.4,0.0,0.79,0.02,0.0
( 2023/02/10 14:12:15.919) #right_data: ,5.36,5.66,5.01,3.86,0.0,0.27,0.0,0.0
( 2023/02/10 14:12:15.997) #right_data: ,7.13,5.86,5.42,3.32,0.0,0.24,0.0,0.0
( 2023/02/10 14:12:16.110) #right_data: ,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.173) #right_data: ,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.241) #right_data: ,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.315) #right_data: ,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.376) #right_data: ,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.438) #right_data: ,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.503) #right_data: ,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.572) #right_data: ,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/10 14:12:16.640) #right_data: ,0.0,0.0,0.0,0.19,0.0,0.42,6.34,5.79
( 2023/02/10 14:12:16.700) #right_data: ,0.12,0.0,0.07,0.29,0.0,0.87,7.48,6.49
( 2023/02/10 14:12:16.762) #right_data: ,0.14,0.0,0.13,0.9,0.0,1.25,7.22,6.34
( 2023/02/10 14:12:16.823) #right_data: ,0.23,0.21,0.86,1.32,0.0,1.47,5.86,4.96
( 2023/02/10 14:12:16.888) #right_data: ,0.71,0.05,1.61,2.36,0.0,1.76,2.26,1.85
( 2023/02/10 14:12:16.956) #right_data: ,1.07,1.3,2.82,3.05,0.0,1.99,1.15,1.26
( 2023/02/10 14:12:17.020) #right_data: ,1.25,3.78,4.69,4.3,0.0,1.61,0.0,0.0
( 2023/02/10 14:12:17.081) #right_data: ,4.9,5.86,5.66,4.49,0.0,0.84,0.0,0.0
