( 2023/02/09 17:11:46.352) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 17:12:32.634) #right_data: ,4.03,0,0.06,1.25,0,0.03,0,0
( 2023/02/09 17:12:32.704) #right_data: ,1.61,0,0,0.35,0,0,0,0
( 2023/02/09 17:12:32.771) #right_data: ,0.48,0,0,0,0,0,0,0
( 2023/02/09 17:12:32.832) #right_data: ,0.33,0,0,0,0,0,0,0
( 2023/02/09 17:12:32.894) #right_data: ,0.23,0,0,0,0,0,0,0
( 2023/02/09 17:12:32.960) #right_data: ,0.1,0,0,0,0,0,0,0
( 2023/02/09 17:12:33.030) #right_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:33.100) #right_data: ,0.06,0,0,0,0,0,0,0
( 2023/02/09 17:12:33.162) #right_data: ,0.35,0,0,0,0,0,0.6,0.74
( 2023/02/09 17:12:33.222) #right_data: ,0.35,0,0,0,0,0,0.6,0.74
( 2023/02/09 17:12:33.288) #right_data: ,1.78,0,0,0.23,0,0.69,5.01,4.3
( 2023/02/09 17:12:33.357) #right_data: ,5.07,0.18,0.27,1.18,0,0.41,3.74,2.98
( 2023/02/09 17:12:33.431) #right_data: ,5.18,0.46,0.67,0.3,0,0.69,3.01,2.36
( 2023/02/09 17:12:33.492) #right_data: ,5.18,1.1,1.16,0.91,0,0.7,0.49,0.42
( 2023/02/09 17:12:33.551) #right_data: ,5.01,0.63,0.2,0.9,0,0.27,1.03,1.13
( 2023/02/09 17:12:33.616) #right_data: ,4.64,1.09,0.44,0.82,0,0.18,0.8,0.99
( 2023/02/09 17:12:33.685) #right_data: ,4.75,2.85,1.39,0.98,0,0.5,0.06,1.1
( 2023/02/09 17:12:33.752) #right_data: ,4.75,2.85,1.39,0.98,0,0.5,0.06,1.1
( 2023/02/09 17:12:33.815) #right_data: ,5.3,3.32,2.06,1.49,0,0.42,0.39,0.4
( 2023/02/09 17:12:33.875) #right_data: ,4.75,0.83,0.75,1.11,0,0.34,0,0
( 2023/02/09 17:12:33.941) #right_data: ,3.74,0,0.28,1.21,0,0.07,0,0
( 2023/02/09 17:12:34.002) #right_data: ,1.06,0,0,0.11,0,0,0,0
( 2023/02/09 17:12:34.068) #right_data: ,0.44,0,0,0.02,0,0,0,0
( 2023/02/09 17:12:34.129) #right_data: ,0.27,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.189) #right_data: ,0.21,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.246) #right_data: ,0.16,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.310) #right_data: ,0.04,0,0,0,0,0,0,0
( 2023/02/09 17:12:34.380) #right_data: ,0.03,0.02,0.04,0.04,0,0,0,0
( 2023/02/09 17:12:34.447) #right_data: ,0.05,0.06,0.24,0.33,0,0,0,0
( 2023/02/09 17:12:34.510) #right_data: ,0.25,1.3,0.57,1.13,0,0.95,0.51,0.68
( 2023/02/09 17:12:34.570) #right_data: ,1.55,2.36,1.89,0.62,0,1.23,0.27,0.62
( 2023/02/09 17:12:34.636) #right_data: ,2.95,3.55,3.11,1.96,0.01,0.55,0.33,0.04
( 2023/02/09 17:12:34.705) #right_data: ,3.36,4.03,3.32,2.01,0,0.27,0.11,0
( 2023/02/09 17:12:34.776) #right_data: ,3.66,4.21,3.18,1.55,0,0.86,0.03,0
( 2023/02/09 17:12:34.839) #right_data: ,3.74,4.17,3.08,1.34,0,0.73,0.02,0
( 2023/02/09 17:12:34.899) #right_data: ,3.91,4.26,2.76,0.75,0,0.79,0.11,0
( 2023/02/09 17:12:34.971) #right_data: ,3.91,4.35,2.73,0.82,0,1,0.62,0.01
( 2023/02/09 17:12:35.040) #right_data: ,3.99,4.08,2.26,0.65,0,1.1,0.11,0.25
( 2023/02/09 17:12:35.110) #right_data: ,4.96,3.25,2.76,0.98,0,0.36,0,0
( 2023/02/09 17:12:35.172) #right_data: ,4.85,1.32,1.21,0.06,0,0.09,0,0
( 2023/02/09 17:12:35.231) #right_data: ,1.11,0,0.06,0.18,0,0,0,0
( 2023/02/09 17:12:35.294) #right_data: ,0.23,0,0,0,0,0,0,0
( 2023/02/09 17:12:35.361) #right_data: ,0.27,0,0,0,0,0,0,0
( 2023/02/09 17:12:35.431) #right_data: ,0.26,0,0,0,0,0,0,0
( 2023/02/09 17:12:35.492) #right_data: ,0.14,0,0,0,0,0,0,0
( 2023/02/09 17:12:35.550) #right_data: ,0.09,0,0,0,0,0,0,0
( 2023/02/09 17:12:35.616) #right_data: ,0.06,0.01,0.03,0,0,0,0,0
( 2023/02/09 17:12:35.684) #right_data: ,0.08,0,0,0,0,0,0.03,0.01
( 2023/02/09 17:12:35.750) #right_data: ,0.12,0,0,0,0,0,1.11,0.92
( 2023/02/09 17:12:35.810) #right_data: ,0.5,0,0.2,0.76,0,0.86,2.79,1.16
( 2023/02/09 17:12:35.871) #right_data: ,3.74,0.62,0.58,0.53,0,0.07,1.87,0.1
( 2023/02/09 17:12:35.934) #right_data: ,4.54,2.76,1.85,1.25,0,0.33,0.97,0.51
( 2023/02/09 17:12:36.000) #right_data: ,4.75,3.47,2.39,1.59,0,1.24,0.08,0.02
