( 2023/02/09 19:19:36.475) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:19:51.933) #right_data: ,1.94,1.01,0.45,0.25,0.0,0.42,4.3,2.01
( 2023/02/09 19:19:51.995) #right_data: ,2.56,0.66,0.57,0.29,0.0,0.51,5.48,2.98
( 2023/02/09 19:19:52.055) #right_data: ,2.95,1.09,0.85,0.6,0.0,0.9,5.86,3.47
( 2023/02/09 19:19:52.126) #right_data: ,2.89,0.59,0.96,0.76,0.0,1.05,5.6,3.4
( 2023/02/09 19:19:52.199) #right_data: ,2.16,0.13,1.07,0.91,0.0,1.2,3.43,1.85
( 2023/02/09 19:19:52.271) #right_data: ,1.83,1.24,1.15,1.0,0.0,0.01,2.31,1.07
( 2023/02/09 19:19:52.335) #right_data: ,1.76,1.16,0.26,0.32,0.0,0.72,0.75,1.22
( 2023/02/09 19:19:52.394) #right_data: ,2.56,0.45,1.25,1.26,0.0,1.25,0.4,1.14
( 2023/02/09 19:19:52.460) #right_data: ,2.76,0.72,1.53,1.45,0.0,1.36,0.35,1.09
( 2023/02/09 19:19:52.533) #right_data: ,4.64,2.89,1.99,1.34,0.0,0.93,1.06,0.68
( 2023/02/09 19:19:52.603) #right_data: ,5.42,3.62,2.26,1.49,0.0,0.96,0.8,0.38
( 2023/02/09 19:19:52.665) #right_data: ,6.42,4.21,2.42,1.32,0.0,1.08,0.12,0.02
( 2023/02/09 19:19:52.725) #right_data: ,6.42,0.73,0.53,1.23,0.0,0.55,0.0,0.0
( 2023/02/09 19:19:52.789) #right_data: ,6.42,0.27,0.68,0.57,0.0,0.31,0.0,0.0
( 2023/02/09 19:19:52.856) #right_data: ,0.51,0.0,0.0,0.0,0.0,0.03,0.0,0.0
( 2023/02/09 19:19:52.923) #right_data: ,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:52.985) #right_data: ,0.82,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 19:19:53.046) #right_data: ,0.94,0.0,0.0,0.0,0.0,0.0,0.01,0.01
( 2023/02/09 19:19:53.108) #right_data: ,0.98,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 19:19:53.178) #right_data: ,1.09,0.0,0.0,0.0,0.0,0.0,0.01,0.0
( 2023/02/09 19:19:53.250) #right_data: ,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:53.312) #right_data: ,0.99,0.0,0.21,0.59,0.0,0.09,0.94,0.34
( 2023/02/09 19:19:53.373) #right_data: ,2.31,0.34,0.8,1.02,0.0,0.82,2.06,1.01
( 2023/02/09 19:19:53.439) #right_data: ,3.55,0.82,1.14,1.24,0.0,1.37,3.74,2.11
( 2023/02/09 19:19:53.508) #right_data: ,3.66,0.8,0.85,1.47,0.0,2.18,3.51,1.92
( 2023/02/09 19:19:53.577) #right_data: ,3.47,0.93,0.94,1.47,0.0,2.18,3.29,1.74
( 2023/02/09 19:19:53.640) #right_data: ,2.21,0.73,0.36,1.14,0.0,1.96,2.36,1.18
( 2023/02/09 19:19:53.702) #right_data: ,2.21,0.73,0.36,1.14,0.0,1.96,2.36,1.18
( 2023/02/09 19:19:53.764) #right_data: ,1.09,0.26,1.19,1.39,0.0,2.23,1.26,0.5
( 2023/02/09 19:19:53.833) #right_data: ,1.04,0.24,1.21,1.55,0.0,2.26,1.45,0.63
( 2023/02/09 19:19:53.901) #right_data: ,2.16,0.38,0.29,1.8,0.0,2.34,2.26,1.09
( 2023/02/09 19:19:53.970) #right_data: ,3.29,0.9,1.14,2.06,0.0,2.42,1.39,0.18
( 2023/02/09 19:19:54.033) #right_data: ,6.34,1.41,2.03,1.18,0.0,0.68,0.0,0.0
( 2023/02/09 19:19:54.092) #right_data: ,6.2,0.51,0.93,0.79,0.0,0.2,0.0,0.0
( 2023/02/09 19:19:54.160) #right_data: ,3.4,0.0,0.01,0.05,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.233) #right_data: ,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.305) #right_data: ,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.366) #right_data: ,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.426) #right_data: ,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.490) #right_data: ,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.559) #right_data: ,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:19:54.634) #right_data: ,0.65,0.0,0.0,0.03,0.0,0.11,0.26,0.31
( 2023/02/09 19:19:54.696) #right_data: ,0.9,0.0,0.14,0.71,0.0,1.05,1.17,0.99
( 2023/02/09 19:19:54.756) #right_data: ,2.98,0.82,0.02,0.38,0.0,0.94,3.86,2.16
( 2023/02/09 19:19:54.820) #right_data: ,2.92,0.83,0.29,0.73,0.0,1.3,4.03,2.44
