( 2023/02/09 19:29:05.645) #right_data: ,R_FSR1,R_FSR2,R_FSR3,R_FSR4,R_FSR5,R_FSR6,R_FSR7,R_FSR8
( 2023/02/09 19:29:24.530) #right_data: ,5.24,2.7,2.53,2.18,0.0,1.21,0.65,0.0
( 2023/02/09 19:29:24.589) #right_data: ,5.66,3.25,2.64,2.03,0.0,1.0,0.14,0.0
( 2023/02/09 19:29:24.657) #right_data: ,4.3,0.19,0.31,0.39,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.720) #right_data: ,1.08,0.0,0.0,0.13,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.791) #right_data: ,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.860) #right_data: ,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.920) #right_data: ,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:24.984) #right_data: ,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.053) #right_data: ,0.28,0.05,0.1,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.122) #right_data: ,0.43,0.01,0.04,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.184) #right_data: ,3.58,1.25,2.13,1.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.243) #right_data: ,3.58,1.25,2.13,1.08,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:25.301) #right_data: ,5.01,5.24,5.01,3.7,0.0,1.14,0.02,0.0
( 2023/02/09 19:29:25.369) #right_data: ,5.18,5.3,5.01,3.78,0.0,1.18,0.24,0.0
( 2023/02/09 19:29:25.438) #right_data: ,5.66,4.96,4.03,2.5,0.0,0.88,0.05,0.0
( 2023/02/09 19:29:25.506) #right_data: ,5.42,4.54,3.47,1.99,0.0,0.6,0.04,0.0
( 2023/02/09 19:29:25.569) #right_data: ,5.48,4.35,3.18,1.53,0.0,0.51,0.05,0.0
( 2023/02/09 19:29:25.628) #right_data: ,5.48,4.08,3.32,2.21,0.0,0.52,0.0,0.0
( 2023/02/09 19:29:25.694) #right_data: ,5.66,4.69,3.47,2.16,0.0,0.32,0.0,0.0
( 2023/02/09 19:29:25.766) #right_data: ,5.86,5.42,3.66,2.34,0.0,0.52,0.04,0.0
( 2023/02/09 19:29:25.836) #right_data: ,6.13,3.47,1.76,0.45,0.0,0.03,0.0,0.0
( 2023/02/09 19:29:25.899) #right_data: ,4.9,0.13,0.02,0.0,0.0,0.0,0.0,0.0
