( 2023/02/09 15:59:18.371) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 16:00:13.667) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.25,0.57
( 2023/02/09 16:00:13.726) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:13.795) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:13.854) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.28,0.58
( 2023/02/09 16:00:13.913) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.28,0.57
( 2023/02/09 16:00:13.976) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.25,0.58
( 2023/02/09 16:00:14.034) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.092) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.150) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.3,0.59
( 2023/02/09 16:00:14.210) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.28,0.59
( 2023/02/09 16:00:14.270) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:14.333) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:14.403) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.28,0.58
( 2023/02/09 16:00:14.469) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.534) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.593) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.656) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.59
( 2023/02/09 16:00:14.722) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.59
( 2023/02/09 16:00:14.785) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.25,0.58
( 2023/02/09 16:00:14.852) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.913) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:14.971) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:15.030) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:15.092) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.57
( 2023/02/09 16:00:15.155) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.26,0.58
( 2023/02/09 16:00:15.214) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.28,0.58
( 2023/02/09 16:00:15.279) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.28,0.58
( 2023/02/09 16:00:15.347) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.3,0.59
( 2023/02/09 16:00:15.415) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.26,0.61
( 2023/02/09 16:00:15.480) #left_data: ,0.08,0.04,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.539) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.600) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.663) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:15.730) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.792) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.857) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:15.931) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:15.990) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:16.048) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.26,0.62
( 2023/02/09 16:00:16.106) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:16.164) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:16.225) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.25,0.62
( 2023/02/09 16:00:16.285) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:16.353) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:16.420) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:16.484) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:16.545) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:16.607) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:16.675) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:16.749) #left_data: ,0.08,0.04,0.24,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:16.816) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:16.876) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.3,0.63
( 2023/02/09 16:00:16.939) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.3,0.63
( 2023/02/09 16:00:17.006) #left_data: ,0.08,0.05,0.25,0.2,0,0.27,1.3,0.62
( 2023/02/09 16:00:17.074) #left_data: ,0.08,0.05,0.25,0.2,0,0.27,1.3,0.62
( 2023/02/09 16:00:17.141) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.32,0.63
( 2023/02/09 16:00:17.201) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:17.265) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:17.331) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:17.394) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.63
( 2023/02/09 16:00:17.461) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.28,0.63
( 2023/02/09 16:00:17.529) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.3,0.62
( 2023/02/09 16:00:17.591) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.28,0.63
( 2023/02/09 16:00:17.652) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.28,0.63
( 2023/02/09 16:00:17.720) #left_data: ,0.08,0.05,0.24,0.19,0,0.26,1.3,0.62
( 2023/02/09 16:00:17.788) #left_data: ,0.08,0.05,0.24,0.2,0,0.26,1.32,0.62
( 2023/02/09 16:00:17.856) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.3,0.63
( 2023/02/09 16:00:17.917) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:17.978) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.62
( 2023/02/09 16:00:18.045) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:18.117) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:18.185) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:18.245) #left_data: ,0.08,0.05,0.25,0.2,0,0.26,1.3,0.62
( 2023/02/09 16:00:18.307) #left_data: ,0.08,0.05,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:18.376) #left_data: ,0.08,0.05,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:18.444) #left_data: ,0.08,0.06,0.25,0.2,0,0.26,1.28,0.61
( 2023/02/09 16:00:18.509) #left_data: ,0.08,0.06,0.25,0.21,0,0.26,1.3,0.63
( 2023/02/09 16:00:18.568) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.3,0.62
( 2023/02/09 16:00:18.630) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.32,0.62
( 2023/02/09 16:00:18.693) #left_data: ,0.09,0.06,0.25,0.21,0,0.27,1.28,0.62
( 2023/02/09 16:00:18.763) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.32,0.61
( 2023/02/09 16:00:18.829) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.26,0.58
( 2023/02/09 16:00:18.886) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.28,0.61
( 2023/02/09 16:00:18.947) #left_data: ,0.09,0.06,0.25,0.2,0,0.26,1.32,0.59
( 2023/02/09 16:00:19.014) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:19.082) #left_data: ,0.09,0.06,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:19.147) #left_data: ,0.09,0.05,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:19.207) #left_data: ,0.09,0.05,0.25,0.21,0,0.26,1.28,0.62
( 2023/02/09 16:00:19.266) #left_data: ,0.09,0.05,0.25,0.21,0,0.26,1.32,0.62
( 2023/02/09 16:00:19.329) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.63
( 2023/02/09 16:00:19.399) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.63
( 2023/02/09 16:00:19.469) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.63
( 2023/02/09 16:00:19.534) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.32,0.65
( 2023/02/09 16:00:19.593) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.34,0.65
( 2023/02/09 16:00:19.653) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.34,0.65
( 2023/02/09 16:00:19.720) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.66
( 2023/02/09 16:00:19.789) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.66
( 2023/02/09 16:00:19.855) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.34,0.65
( 2023/02/09 16:00:19.914) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.36,0.65
( 2023/02/09 16:00:19.974) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.36,0.65
( 2023/02/09 16:00:20.040) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.3,0.65
( 2023/02/09 16:00:20.108) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.32,0.62
( 2023/02/09 16:00:20.173) #left_data: ,0.09,0.05,0.25,0.21,0,0.27,1.32,0.63
( 2023/02/09 16:00:20.231) #left_data: ,0.09,0.06,0.26,0.21,0,0.27,1.34,0.65
( 2023/02/09 16:00:20.293) #left_data: ,0.09,0.06,0.26,0.21,0,0.27,1.34,0.65
( 2023/02/09 16:00:20.364) #left_data: ,0.09,0.06,0.26,0.21,0,0.27,1.36,0.65
( 2023/02/09 16:00:20.433) #left_data: ,0.09,0.06,0.26,0.21,0,0.27,1.3,0.65
( 2023/02/09 16:00:20.499) #left_data: ,0.09,0.06,0.26,0.21,0,0.27,1.32,0.66
( 2023/02/09 16:00:20.560) #left_data: ,0.09,0.05,0.26,0.21,0,0.27,1.32,0.65
