( 2023/02/09 19:29:05.637) #left_data: ,L_FSR1,L_FSR2,L_FSR3,L_FSR4,L_FSR5,L_FSR6,L_FSR7,L_FSR8
( 2023/02/09 19:29:26.228) #left_data: ,1.89,0.59,2.79,3.66,0.01,2.28,0.09,0.0
( 2023/02/09 19:29:26.289) #left_data: ,2.36,0.57,2.98,3.82,0.02,2.58,0.2,0.0
( 2023/02/09 19:29:26.351) #left_data: ,3.4,0.98,3.29,4.17,0.01,2.44,0.03,0.0
( 2023/02/09 19:29:26.419) #left_data: ,4.49,1.61,3.66,4.49,0.0,0.88,0.0,0.0
( 2023/02/09 19:29:26.488) #left_data: ,5.12,1.69,3.66,3.95,0.0,0.77,0.0,0.0
( 2023/02/09 19:29:26.554) #left_data: ,4.8,1.09,0.13,0.91,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.614) #left_data: ,4.8,1.09,0.13,0.91,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.677) #left_data: ,0.24,0.0,0.03,0.11,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.742) #left_data: ,0.32,0.0,0.01,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.801) #left_data: ,0.32,0.0,0.01,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.860) #left_data: ,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.923) #left_data: ,0.34,0.0,0.06,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:26.988) #left_data: ,0.35,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.051) #left_data: ,0.35,0.0,0.02,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.119) #left_data: ,2.13,0.41,0.9,1.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.190) #left_data: ,4.69,5.01,4.59,3.74,0.33,3.18,0.08,0.77
( 2023/02/09 19:29:27.255) #left_data: ,4.69,5.01,4.59,3.74,0.33,3.18,0.08,0.77
( 2023/02/09 19:29:27.315) #left_data: ,4.4,4.12,4.49,3.86,0.05,1.99,0.03,0.0
( 2023/02/09 19:29:27.380) #left_data: ,4.17,2.82,4.17,3.47,0.0,1.15,0.0,0.0
( 2023/02/09 19:29:27.447) #left_data: ,4.4,2.58,4.03,3.32,0.0,0.91,0.0,0.0
( 2023/02/09 19:29:27.516) #left_data: ,5.12,2.89,4.03,3.32,0.0,1.07,0.0,0.0
( 2023/02/09 19:29:27.585) #left_data: ,6.13,3.18,4.3,3.51,0.0,0.98,0.0,0.0
( 2023/02/09 19:29:27.644) #left_data: ,6.13,3.18,4.3,3.51,0.0,0.98,0.0,0.0
( 2023/02/09 19:29:27.705) #left_data: ,6.2,0.76,3.82,3.15,0.0,0.67,0.0,0.0
( 2023/02/09 19:29:27.773) #left_data: ,0.65,0.0,0.0,0.8,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.842) #left_data: ,0.65,0.0,0.0,0.8,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.908) #left_data: ,0.28,0.0,0.0,0.09,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:27.967) #left_data: ,0.34,0.0,0.0,0.03,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.029) #left_data: ,0.42,0.0,0.0,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.096) #left_data: ,0.51,0.0,0.0,0.04,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.166) #left_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.231) #left_data: ,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.290) #left_data: ,0.23,0.0,0.03,0.02,0.0,0.0,0.0,0.0
( 2023/02/09 19:29:28.352) #left_data: ,0.06,0.0,0.0,0.04,0.0,0.0,0.89,0.71
( 2023/02/09 19:29:28.420) #left_data: ,0.19,0.0,0.01,0.39,0.0,0.56,4.85,4.26
( 2023/02/09 19:29:28.490) #left_data: ,0.42,0.03,0.17,0.65,0.0,0.99,5.48,4.9
( 2023/02/09 19:29:28.557) #left_data: ,0.65,0.34,0.67,0.96,0.0,0.61,6.06,5.73
( 2023/02/09 19:29:28.617) #left_data: ,0.92,0.86,1.0,1.12,0.0,1.01,5.92,5.18
( 2023/02/09 19:29:28.681) #left_data: ,0.44,0.91,0.85,0.51,0.02,1.53,4.8,3.4
( 2023/02/09 19:29:28.748) #left_data: ,1.55,1.92,1.53,0.76,0.03,1.36,3.82,2.01
( 2023/02/09 19:29:28.815) #left_data: ,2.28,2.76,1.8,0.47,0.02,0.68,3.51,1.39
( 2023/02/09 19:29:28.880) #left_data: ,3.11,2.98,1.8,0.35,0.01,0.21,2.73,1.26
( 2023/02/09 19:29:28.939) #left_data: ,4.49,3.18,2.11,0.54,0.0,1.24,0.98,0.41
( 2023/02/09 19:29:28.998) #left_data: ,6.06,3.58,2.92,0.98,0.0,0.96,0.55,0.0
( 2023/02/09 19:29:29.058) #left_data: ,6.06,3.58,2.92,0.98,0.0,0.96,0.55,0.0
( 2023/02/09 19:29:29.127) #left_data: ,6.49,2.76,3.55,2.23,0.0,0.65,0.0,0.0
